Temperature_C,Vibration_mm_s,Days_Since_Maintenance,Machine_Load_Pct,Failure
90,5.3,186,63,Yes
68,6.6,49,61,No
62,9.6,103,90,Yes
69,8.7,50,71,No
74,5.0,153,78,No
89,9.9,122,96,Yes
75,6.3,46,69,No
61,8.1,39,90,Yes
71,3.4,36,63,No
81,3.3,23,60,No
89,4.1,165,61,Yes
86,9.6,161,71,Yes
96,7.9,84,78,No
65,9.3,36,60,No
92,7.7,67,83,Yes
60,5.8,96,92,No
79,6.6,111,79,No
68,7.2,103,64,Yes
65,9.4,125,92,Yes
83,6.0,125,62,No
69,9.6,126,79,No
79,7.4,105,98,Yes
68,9.1,95,74,No
63,6.5,179,77,No
87,8.0,159,69,Yes
74,5.2,147,72,No
84,6.7,29,69,No
84,4.2,117,61,No
94,3.3,169,88,Yes
74,2.8,124,75,Yes
66,8.1,52,98,Yes
82,6.2,106,74,No
94,9.7,113,90,Yes
95,9.2,184,80,Yes
91,5.6,113,84,No
84,10.3,58,60,No
72,7.2,38,93,No
73,8.6,137,65,No
59,5.8,187,97,No
65,4.1,114,68,No
