Days_Since_Purchase,Purchases_6M,Avg_Bill_Rs,Campaign_Response,Churn
141,14,3109,0,No
173,4,3297,0,Yes
51,9,889,1,No
41,15,3106,1,No
144,11,1054,1,No
150,6,1752,0,Yes
95,2,971,0,No
31,17,1160,1,No
151,4,2193,1,Yes
95,9,2117,1,No
31,12,1808,0,No
28,6,2057,0,No
77,9,2006,0,No
126,5,2480,1,Yes
76,15,2631,0,No
153,11,1857,0,No
6,4,3042,0,No
79,6,2665,1,No
97,12,2208,1,No
173,12,1055,1,Yes
46,6,3283,1,No
150,3,1422,0,Yes
17,3,1726,0,No
64,5,3079,0,No
136,14,3353,1,No
106,15,3761,0,No
170,6,3249,1,Yes
137,11,3205,0,No
165,9,2990,1,No
150,5,3314,1,Yes
28,10,2437,0,No
169,3,3167,1,Yes
153,9,1455,0,Yes
30,3,2116,1,No
177,5,3161,0,Yes
136,5,2990,0,Yes
60,1,2004,0,No
29,7,2493,1,No
73,13,1840,1,No
164,12,2097,0,No
