Customer_ID,Age,Gender,Occupation,Region,Annual_Income,Policy_Type,Annual_Premium,Total_Claim_Amount,Number_of_Claims,Policy_Tenure_Years,Support_Calls_Last_Year,Payment_Mode,Policy_Start_Date,Retention_Offer_Accepted_After_Lapse,Policy_Renewed
INS20001,32.0,Male,Business,West,1741400.0,Motor,20300.0,0.0,0.0,12.0,3.0,Credit Card,2025-08-18,No,Yes
INS20002,44.0,Male,Self-employed,East,508300.0,Life,28400.0,36900.0,0.0,6.0,4.0,Auto-debit,2018-03-09,No,Yes
INS20003,49.0,Male,Salaried,South,364900.0,Health,40100.0,0.0,0.0,4.0,2.0,Auto-debit,2021-07-18,Yes,No
INS20004,25.0,Male,,South,9999999.0,Health,,33800.0,0.0,12.0,2.0,Credit Card,2024-03-07,No,Yes
INS20005,21.0,Female,Salaried,North,771500.0,Health,25700.0,0.0,1.0,5.0,1.0,Credit Card,2024-03-01,No,Yes
INS20006,47.0,Male,Salaried,West,626500.0,Health,26400.0,146300.0,1.0,12.0,2.0,Auto-debit,2021-06-17,No,Yes
INS20007,46.0,Female,Business,West,366700.0,Motor,25200.0,67400.0,1.0,6.0,1.0,UPI,2023-08-22,No,Yes
INS20008,51.0,Male,Business,South,256500.0,Life,20700.0,0.0,0.0,10.0,3.0,Auto-debit,2023-07-15,No,Yes
INS20009,27.0,Female,Self-employed,West,1095700.0,Travel,13900.0,115700.0,1.0,10.0,3.0,Credit Card,2024-09-27,No,Yes
INS20010,38.0,Female,Salaried,West,667300.0,Health,12500.0,0.0,0.0,6.0,0.0,Net Banking,2020-12-23,No,Yes
INS20011,32.0,Female,Self-employed,North,895200.0,Health,26200.0,0.0,1.0,1.0,4.0,Net Banking,2022-01-08,No,Yes
INS20012,21.0,Male,Business,South,1462300.0,Life,14000.0,0.0,0.0,3.0,0.0,Credit Card,2019-07-20,No,Yes
INS20013,36.0,Male,Salaried,West,509500.0,Life,,0.0,2.0,7.0,1.0,Net Banking,2023-09-26,Yes,No
INS20014,47.0,Male,Salaried,North,318500.0,Travel,15600.0,56100.0,0.0,5.0,1.0,Auto-debit,2019-03-28,No,Yes
INS20015,45.0,Male,Salaried,North,1380400.0,Life,25000.0,0.0,2.0,10.0,0.0,Credit Card,2018-01-07,No,Yes
INS20016,47.0,Male,Salaried,East,369300.0,Life,34000.0,0.0,0.0,4.0,0.0,Auto-debit,2018-03-17,Yes,Yes
INS20017,51.0,Male,Salaried,North,1136600.0,Motor,45800.0,0.0,1.0,10.0,2.0,Credit Card,2022-12-21,No,Yes
INS20018,58.0,Male,Salaried,South,359600.0,Motor,,0.0,2.0,7.0,2.0,Auto-debit,2020-04-20,No,Yes
INS20019,29.0,Female,Business,North,324500.0,Travel,19300.0,0.0,1.0,7.0,1.0,UPI,2022-05-05,No,Yes
INS20020,52.0,Male,Salaried,West,628100.0,Life,19100.0,0.0,0.0,9.0,4.0,Auto-debit,2022-12-06,No,Yes
INS20021,40.0,Male,Salaried,South,1586400.0,Motor,30900.0,22800.0,0.0,11.0,2.0,Auto-debit,2023-09-03,Yes,No
INS20022,51.0,Female,Self-employed,South,644000.0,Health,,0.0,1.0,1.0,0.0,UPI,2018-04-28,No,No
INS20023,37.0,Male,Retired,North,548700.0,Health,6800.0,0.0,1.0,11.0,0.0,Credit Card,2024-12-29,No,Yes
INS20024,41.0,Female,Business,East,308300.0,Life,16700.0,0.0,0.0,11.0,1.0,Credit Card,2020-02-21,No,Yes
INS20025,45.0,Female,Salaried,South,443000.0,Health,11400.0,0.0,1.0,12.0,0.0,Credit Card,2024-05-11,No,Yes
INS20026,33.0,Female,Salaried,South,1241300.0,Health,19700.0,0.0,0.0,8.0,2.0,Net Banking,2023-01-11,No,Yes
INS20027,31.0,Female,Salaried,North,1002600.0,Life,29100.0,21500.0,0.0,9.0,3.0,Net Banking,2021-10-18,No,Yes
INS20028,50.0,Female,Salaried,West,1065100.0,Motor,10800.0,0.0,0.0,3.0,3.0,Auto-debit,2018-12-27,No,Yes
INS20029,38.0,Female,Self-employed,West,474300.0,Motor,28200.0,0.0,0.0,3.0,2.0,Auto-debit,2021-01-24,No,Yes
INS20030,36.0,Female,Self-employed,,1124000.0,Life,43600.0,0.0,0.0,9.0,3.0,UPI,2020-03-21,No,No
INS20031,34.0,Female,Business,East,252900.0,Travel,61900.0,164500.0,0.0,4.0,2.0,UPI,2023-07-22,No,No
INS20032,37.0,Male,Salaried,East,,Health,27200.0,18100.0,0.0,2.0,1.0,Net Banking,2019-03-22,No,Yes
INS20033,38.0,Male,Retired,North,198600.0,Life,20200.0,0.0,0.0,7.0,1.0,Credit Card,2021-06-02,No,Yes
INS20034,30.0,Female,Self-employed,South,754700.0,Motor,13600.0,0.0,1.0,12.0,1.0,Net Banking,2022-11-01,No,Yes
INS20035,53.0,Male,Salaried,South,656800.0,Motor,35600.0,0.0,0.0,10.0,0.0,Auto-debit,2023-05-07,No,Yes
INS20036,44.0,Female,Self-employed,North,456500.0,Travel,16900.0,0.0,0.0,1.0,2.0,Net Banking,2021-01-17,No,Yes
INS20037,50.0,Male,Salaried,North,792200.0,Life,44600.0,0.0,2.0,8.0,3.0,Auto-debit,2023-05-13,No,No
INS20038,31.0,Female,Salaried,South,600400.0,Motor,19900.0,0.0,0.0,6.0,1.0,UPI,2023-07-05,No,Yes
INS20039,,Male,Salaried,West,1248700.0,Life,35100.0,103200.0,1.0,11.0,1.0,Auto-debit,2022-12-04,No,Yes
INS20040,46.0,Female,Salaried,South,789400.0,Motor,22300.0,0.0,3.0,11.0,1.0,Credit Card,2022-01-29,No,Yes
INS20041,44.0,Male,Retired,North,641200.0,Life,28400.0,0.0,1.0,12.0,3.0,Net Banking,2021-01-31,No,Yes
INS20042,40.0,Male,Business,South,313800.0,Health,17800.0,19100.0,0.0,10.0,2.0,Auto-debit,2019-08-29,No,Yes
INS20043,47.0,Male,Self-employed,South,564700.0,Life,79800.0,0.0,0.0,1.0,0.0,Auto-debit,2025-02-27,No,Yes
INS20044,40.0,Female,Salaried,South,463100.0,Motor,23700.0,33000.0,1.0,2.0,4.0,Credit Card,2024-06-20,No,No
INS20045,47.0,Male,Retired,west,361000.0,Life,41100.0,0.0,0.0,10.0,1.0,Credit Card,2023-06-19,Yes,Yes
INS20046,63.0,Male,Salaried,East,298000.0,Motor,36900.0,0.0,1.0,11.0,3.0,Credit Card,2024-04-14,No,Yes
INS20047,18.0,Male,ret.,North,1816600.0,Health,15400.0,0.0,0.0,11.0,1.0,,2023-12-02,No,Yes
INS20048,33.0,Female,Self-employed,South,1519400.0,Travel,29600.0,100900.0,0.0,7.0,4.0,Net Banking,2023-01-24,No,Yes
INS20049,37.0,Male,Salaried,,1515000.0,Health,34100.0,0.0,2.0,9.0,1.0,Credit Card,2024-12-28,No,Yes
INS20050,37.0,Male,Self-employed,South,626900.0,Life,12100.0,0.0,1.0,11.0,1.0,Credit Card,2019-01-28,Yes,No
INS20051,34.0,Female,Salaried,West,1200200.0,Motor,78300.0,0.0,0.0,11.0,1.0,Auto-debit,2018-05-07,No,Yes
INS20052,29.0,Male,Self-employed,North,310500.0,Motor,34800.0,0.0,0.0,12.0,1.0,Net Banking,2025-02-14,No,Yes
INS20053,27.0,Male,Salaried,West,868400.0,Health,7700.0,45400.0,0.0,4.0,3.0,UPI,2025-03-24,No,Yes
INS20054,21.0,Male,Salaried,South,1017200.0,Motor,25000.0,0.0,2.0,2.0,1.0,Net Banking,2021-07-19,No,Yes
INS20055,34.0,Male,Business,North,572400.0,Life,21800.0,0.0,1.0,10.0,1.0,Credit Card,2023-10-08,No,Yes
INS20056,48.0,Male,Salaried,East,244600.0,Motor,12500.0,0.0,1.0,5.0,1.0,UPI,2020-07-20,No,Yes
INS20057,31.0,Female,Retired,East,945000.0,Life,27000.0,0.0,0.0,4.0,0.0,Net Banking,2020-12-11,No,Yes
INS20058,47.0,Female,Self-employed,West,1594500.0,Life,22000.0,0.0,0.0,6.0,0.0,Credit Card,2018-10-10,No,Yes
INS20059,50.0,Female,Retired,South,1275500.0,Health,40700.0,0.0,0.0,5.0,3.0,Credit Card,2022-11-01,No,No
