Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,gross margin percentage,gross income,Rating
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,80.22,03-08-2019,10:29,Cash,4.761904762,3.82,9.6
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,627.6165,3/25/2019,18:30,Ewallet,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,5,433.692,2/25/2019,14:36,Ewallet,4.761904762,20.652,5.8
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,107.142,2/25/2019,17:03,Cash,4.761904762,5.102,6.8
365-64-0515,A,Naypyitaw,Normal,Female,Electronic accessories,46.95,5,246.4875,02-12-2019,10:25,Ewallet,4.761904762,11.7375,7.1
351-62-0822,B,Mandalay,Member,Male,Fashion accessories,56.36,4,60.816,02-06-2019,18:07,Ewallet,4.761904762,2.896,4.5
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,172.746,2/20/2019,13:27,Credit card,4.761904762,8.226,5.9
252-56-2699,A,Yangon,Normal,Male,Food and beverages,82.36,10,453.495,02-07-2019,16:48,Ewallet,4.761904762,21.595,2.5
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,172.2105,1/21/2019,18:00,Credit card,4.761904762,8.2005,8.6
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,548.9715,01-05-2019,13:08,Ewallet,4.761904762,26.1415,9.1
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,489.048,1/27/2019,20:33,Ewallet,4.761904762,23.288,8.4
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,785.36,01-10-2019,17:15,Credit card,4.761904762,3.626,7.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,710.58,3/29/2019,19:21,Cash,4.761904762,35.69,5.7
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,5,506.6355,03-11-2019,11:03,Credit card,4.761904762,24.1255,4.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,340.5255,03-03-2019,13:23,Credit card,4.761904762,16.2155,7.4
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,772.38,2/24/2019,11:38,Ewallet,4.761904762,36.78,8
373-73-7910,A,Yangon,Normal,Female,Sports and travel,69.36,7,634.3785,02-08-2019,10:37,Ewallet,4.761904762,30.2085,5.3
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,590.436,1/15/2019,16:19,Cash,4.761904762,28.116,4.5
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,457.443,01-01-2019,10:39,Credit card,4.761904762,21.783,6.9
