Col 1,col 2,col 3,col 4
9707,245,495276,0.019599173
8593,204,513860,0.016722454
9529,424,976523,0.009758091
4553,293,150696,0.030213144
1418,285,142106,0.009978467
2177,562,291927,0.007457344
6420,425,376294,0.017061128
3428,419,41079,0.083448964
8162,332,552404,0.014775418
6804,64,210861,0.032267702
8191,35,139886,0.058554823
7406,185,344554,0.021494454
3724,269,706162,0.005273577
9850,513,23912,0.411927066
9083,493,545820,0.016641017
3685,148,297762,0.012375656
8843,42,982045,0.009004679
6566,168,640013,0.010259167
7715,198,691130,0.011162878
1515,524,790161,0.001917331
3135,299,306379,0.010232425
6949,313,601510,0.011552593
9369,402,352329,0.026591623
5606,382,360539,0.015548942
4378,155,184293,0.02375565
4069,433,22867,0.177942013
2084,206,694982,0.002998639
6613,95,638725,0.010353438
3626,434,294901,0.012295652
1438,320,781703,0.001839573
3672,201,926132,0.003964878
6091,561,708592,0.00859592
2755,589,348879,0.007896721
5137,332,221951,0.023144748
6852,475,20091,0.341048231
5062,110,782530,0.006468762
2808,193,219351,0.0128014
6162,174,106706,0.057747456
3465,271,53833,0.064365724
6088,408,399737,0.015230014
2217,466,986505,0.002247328
7882,401,541300,0.014561241
5737,160,848977,0.006757545
6008,82,454784,0.013210667
5965,192,841934,0.007084878
1406,263,162971,0.008627302
7727,193,178138,0.043376483
1467,284,586650,0.002500639
7660,351,611745,0.012521557
3280,461,585995,0.005597317
9679,247,569444,0.016997282
6024,116,857874,0.00702201
7348,143,673015,0.010918033
9205,423,788505,0.011673991
5145,450,165641,0.03106115
6162,148,728922,0.008453579
7527,211,259257,0.029032967
6579,126,20132,0.326793165
3458,315,373908,0.009248264
7555,213,959691,0.007872326
4123,328,372852,0.011058007
8692,53,901420,0.009642564
8345,380,312754,0.026682313
6643,531,122120,0.054397314
9782,166,63810,0.153298856
7271,566,367859,0.019765725
3851,155,281509,0.013679847
4909,413,724052,0.0067799
9087,395,88130,0.103109043
5108,475,840992,0.00607378
8955,403,203290,0.044050371
1432,406,143177,0.010001606
6628,407,123955,0.053471018
2664,285,708749,0.003758735
9089,112,155182,0.058569937
5752,98,12052,0.477265184
6299,532,72152,0.087301807
4690,327,526742,0.00890379
6305,424,33515,0.18812472
4952,47,145136,0.034119722
2423,431,787245,0.003077822
8769,576,78863,0.111192828
1772,79,869458,0.002038051
5496,93,71393,0.076982337
2374,361,361657,0.006564231
5604,106,555710,0.010084397
6766,214,114519,0.059081899
4504,585,223796,0.020125471
6247,74,221987,0.028141288
4538,269,837589,0.005417932
8499,130,675427,0.012583151
4443,511,666679,0.006664377
7092,150,615236,0.011527284
5558,366,339753,0.016358943
9561,454,175890,0.054357837
4303,394,338913,0.012696474
1835,315,640929,0.002863032
7247,346,655521,0.011055329
2216,258,724158,0.003060106
7029,357,15782,0.445380814
6671,299,998240,0.006682762
9974,418,228505,0.043648935
7946,365,815931,0.009738569
9011,164,726461,0.012403969
5868,343,330628,0.017748043
9209,577,299266,0.030771955
1769,117,371928,0.004756297
8352,151,720255,0.011595893
8649,406,508333,0.017014437
8605,350,491255,0.017516361
3034,403,897142,0.00338185
5626,248,194910,0.028864604
5948,330,450105,0.013214694
3178,98,341550,0.009304641
8576,85,445058,0.019269399
5318,230,47285,0.112466956
4051,344,181769,0.022286529
9900,179,577793,0.017134164
6444,287,881167,0.007313029
2691,91,881619,0.003052339
2369,281,156382,0.015148802
7300,400,525483,0.013891981
8765,361,537137,0.016317997
5679,517,141922,0.040014938
9254,441,442390,0.020918194
8174,34,724983,0.011274747
4887,563,919392,0.005315469
2167,276,741654,0.002921848
5196,289,280125,0.018548862
9568,356,615817,0.015537083
1018,373,748364,0.001360301
7029,98,227453,0.030903088
1495,354,679025,0.002201686
6059,405,106700,0.05678538
1737,566,456632,0.003803938
7664,151,977123,0.007843434
4277,331,984901,0.004342568
5286,561,227591,0.023225874
5473,70,420826,0.013005375
2588,346,687979,0.003761743
2863,172,602072,0.004755245
7607,574,332040,0.02290989
2174,130,606495,0.003584531
9854,293,885918,0.011122926
2002,57,637978,0.003138039
5521,378,785463,0.007028975
5801,330,77708,0.074651259
5903,171,233871,0.02524041
8433,153,89179,0.094562621
7196,114,973399,0.007392652
5750,182,40822,0.140855421
8848,456,683741,0.012940573
8686,117,108037,0.080398382
4894,193,615745,0.007948095
2305,483,279621,0.008243301
3762,245,896944,0.004194242
3620,34,107667,0.033622187
6688,219,643087,0.010399837
2358,518,558758,0.004220074
1560,216,695126,0.002244197
1991,534,379741,0.005243047
2656,363,360875,0.007359889
9729,585,536961,0.018118634
1306,464,443348,0.002945767
7082,78,68892,0.102798583
5117,367,849665,0.006022374
2236,174,368557,0.006066904
8065,564,554333,0.014549017
7551,486,735134,0.010271597
2414,522,966697,0.002497163
5673,299,380246,0.014919289
7546,300,211173,0.035733735
5392,430,691117,0.007801863
7655,142,93471,0.081897059
2943,499,611393,0.004813598
4342,240,663436,0.006544716
3582,533,566631,0.006321574
4294,451,477561,0.008991522
3011,270,783574,0.003842649
5546,436,601207,0.009224776
8852,192,671070,0.013190874
6745,364,742010,0.009090174
4500,575,896607,0.005018921
4536,44,68476,0.066242187
3843,522,720381,0.005334677
7961,203,707430,0.01125341
2151,72,587871,0.003658966
3420,519,950489,0.003598148
5405,362,937558,0.005764977
3693,378,875818,0.004216629
1554,226,463056,0.003355966
5579,523,496579,0.011234869
6268,545,742111,0.008446176
1182,468,185082,0.006386358
7343,80,522334,0.014058055
2496,496,355911,0.007012989
1082,96,76055,0.014226547
1062,424,359577,0.00295347
2785,435,409913,0.006794125
2135,118,564044,0.003785166
8590,146,589694,0.014566877
1915,334,495294,0.00386639
5222,311,773170,0.006754013
6607,132,523628,0.012617736
3422,109,832699,0.004109528
5761,416,160218,0.035957258
9702,399,421017,0.0230442
4813,531,633224,0.007600786
5471,437,97668,0.0560163
