longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.2,37.9,41.0,880.0,129.0,322.0,126.0,8.3,452600
-122.2,37.9,21.0,7099.0,1106.0,2401.0,1138.0,8.3,358500
-122.2,37.8,52.0,1467.0,190.0,496.0,177.0,7.3,352100
-122.2,37.8,52.0,1274.0,235.0,558.0,219.0,5.6,341300
-122.2,37.8,52.0,1627.0,280.0,565.0,259.0,3.8,342200
-122.2,37.8,52.0,919.0,213.0,413.0,193.0,4.0,269700
-122.2,37.8,52.0,2535.0,489.0,1094.0,514.0,3.7,299200
-122.2,37.8,52.0,3104.0,687.0,1157.0,647.0,3.1,241400
-122.3,37.8,28.6,2555.0,665.0,1206.0,595.0,2.1,226700
-122.2,37.8,52.0,3549.0,707.0,1000.0,714.0,3.7,261100
-122.3,37.8,52.0,2202.0,434.0,910.0,402.0,3.2,281500
-122.3,37.8,52.0,3503.0,752.0,1504.0,734.0,3.3,241800
-122.3,37.8,52.0,2491.0,474.0,1098.0,468.0,3.1,213500
-122.3,37.8,52.0,2127.0,191.0,345.0,174.0,2.7,191300
-122.3,37.8,52.0,2643.0,626.0,1212.0,620.0,1.9,159200
-122.3,37.8,50.0,1120.0,283.0,697.0,264.0,2.1,140000
-122.3,37.8,52.0,1966.0,347.0,793.0,331.0,2.8,152500
-122.3,37.8,28.6,1228.0,293.0,1000.0,303.0,2.1,155500
-122.3,37.8,50.0,2239.0,455.0,990.0,419.0,2.0,158700
-122.3,37.8,52.0,1503.0,298.0,690.0,275.0,2.6,162900
-122.3,37.8,40.0,751.0,184.0,409.0,166.0,1.4,147500
-122.3,37.8,42.0,1639.0,367.0,929.0,366.0,1.7,159800
-122.3,37.8,52.0,2436.0,541.0,1015.0,478.0,1.7,113900
-122.3,37.8,52.0,1688.0,337.0,853.0,325.0,2.2,99700
-122.3,37.8,52.0,2224.0,437.0,1000.0,422.0,2.6,132600
-122.3,37.8,41.0,535.0,123.0,317.0,119.0,2.4,107500
-122.3,37.8,49.0,1130.0,244.0,607.0,239.0,2.5,93800
-122.3,37.8,52.0,1898.0,421.0,1102.0,397.0,1.8,105500
-122.3,37.8,50.0,2082.0,492.0,1131.0,473.0,1.6,108900
-122.3,37.8,52.0,729.0,160.0,395.0,155.0,1.7,132000
-122.3,37.8,49.0,1916.0,447.0,863.0,378.0,1.9,122300
-122.3,37.8,52.0,2153.0,481.0,1168.0,441.0,2.0,115200
-122.3,37.8,48.0,1922.0,409.0,1026.0,335.0,1.8,110400
-122.3,37.8,49.0,1655.0,366.0,754.0,329.0,1.4,104900
-122.3,37.8,51.0,2665.0,574.0,1258.0,536.0,2.7,109700
-122.3,37.8,49.0,1215.0,282.0,1000.0,264.0,1.5,97200
-122.3,37.8,48.0,1798.0,432.0,987.0,374.0,1.1,104500
-122.3,37.8,52.0,1511.0,390.0,901.0,403.0,1.4,103900
-122.3,37.8,52.0,1470.0,330.0,689.0,309.0,3.5,191400
-122.3,37.8,52.0,2432.0,715.0,1377.0,696.0,2.6,176000
-122.3,37.8,52.0,1665.0,419.0,946.0,395.0,2.1,155400
-122.3,37.8,51.0,936.0,311.0,517.0,249.0,1.3,150000
-122.3,37.8,49.0,713.0,202.0,462.0,189.0,1.0,118800
-122.3,37.8,52.0,950.0,202.0,467.0,198.0,4.0,188800
-122.3,37.8,52.0,1443.0,311.0,660.0,292.0,3.0,184400
-122.3,37.8,52.0,1656.0,420.0,718.0,382.0,2.7,182300
-122.3,37.8,50.0,1125.0,322.0,616.0,304.0,2.0,142500
-122.3,37.8,43.0,1007.0,312.0,558.0,253.0,1.7,137500
-122.3,37.8,40.0,624.0,195.0,423.0,160.0,1.0,187500
-122.3,37.8,40.0,946.0,375.0,700.0,352.0,1.8,112500
-122.3,37.8,21.0,896.0,453.0,1000.0,438.0,0.9,171900
-122.3,37.8,43.0,1868.0,456.0,1061.0,407.0,1.5,93800
-122.3,37.8,41.0,3221.0,853.0,1959.0,720.0,1.1,97500
-122.3,37.8,52.0,1630.0,456.0,1162.0,400.0,1.4,104200
-122.3,37.8,52.0,1170.0,235.0,701.0,233.0,1.6,87500
-122.3,37.8,52.0,945.0,243.0,576.0,220.0,1.4,83100
-122.3,37.8,52.0,1238.0,288.0,622.0,259.0,1.5,87500
-122.3,37.8,52.0,1489.0,335.0,728.0,244.0,0.8,85300
-122.3,37.8,52.0,1387.0,341.0,1074.0,304.0,1.2,80300
-122.3,37.8,2.0,158.0,43.0,94.0,57.0,2.6,60000
-122.3,37.8,52.0,1121.0,211.0,554.0,187.0,3.4,75700
-122.3,37.8,49.0,135.0,29.0,86.0,23.0,6.1,75000
-122.3,37.8,50.0,760.0,190.0,377.0,122.0,0.9,86100
-122.3,37.8,52.0,1224.0,237.0,521.0,159.0,1.2,76100
-122.3,37.8,48.0,828.0,182.0,392.0,133.0,2.6,73500
-122.3,37.8,52.0,1010.0,209.0,604.0,187.0,1.2,78400
-122.3,37.8,48.0,1455.0,354.0,788.0,332.0,1.9,84400
-122.3,37.8,52.0,1027.0,244.0,1000.0,147.0,2.6,81300
-122.3,37.8,52.0,572.0,109.0,274.0,82.0,1.9,85000
-122.3,37.8,46.0,2801.0,644.0,1823.0,611.0,1.0,129200
-122.3,37.8,26.0,768.0,152.0,392.0,127.0,1.8,82500
